"date"	"level"
2018-04-17	211
2018-04-18	206
2018-04-19	202
2018-04-20	195
2018-04-21	194
2018-04-22	195
2018-04-23	195
2018-04-24	202
2018-04-25	208
2018-04-26	211
2018-04-27	213
2018-04-28	213
2018-04-29	216
2018-04-30	225
2018-05-01	217
2018-05-02	211
2018-05-03	209
2018-05-04	205
2018-05-05	202
2018-05-06	192
2018-05-07	182
2018-05-08	179
2018-05-09	179
2018-05-10	186
2018-05-11	192
2018-05-12	209
2018-05-13	213
2018-05-14	219
2018-05-15	231
2018-05-16	229
2018-05-17	244
2018-05-18	259
2018-05-19	256
2018-05-20	246
2018-05-21	237
2018-05-22	223
2018-05-23	214
2018-05-24	213
2018-05-25	219
2018-05-26	222
2018-05-27	211
2018-05-28	203
2018-05-29	195
2018-05-30	197
2018-05-31	205
2018-06-01	223
2018-06-02	247
2018-06-03	249
2018-06-04	234
2018-06-05	214
2018-06-06	205
2018-06-07	206
2018-06-08	217
2018-06-09	231
2018-06-10	237
2018-06-11	243
2018-06-12	266
2018-06-13	287
2018-06-14	285
2018-06-15	289
2018-06-16	298
2018-06-17	279
2018-06-18	252
2018-06-19	226
2018-06-20	213
2018-06-21	200
2018-06-22	187
2018-06-23	179
2018-06-24	171
2018-06-25	166
2018-06-26	159
2018-06-27	153
2018-06-28	146
2018-06-29	142
2018-06-30	139
2018-07-01	137
2018-07-02	127
2018-07-03	123
2018-07-04	123
2018-07-05	132
2018-07-06	141
2018-07-07	158
2018-07-08	163
2018-07-09	161
2018-07-10	144
2018-07-11	134
2018-07-12	128
2018-07-13	121
2018-07-14	111
2018-07-15	102
2018-07-16	100
2018-07-17	101
2018-07-18	101
2018-07-19	101
2018-07-20	100
2018-07-21	96
2018-07-22	98
2018-07-23	111
2018-07-24	112
2018-07-25	104
2018-07-26	96
2018-07-27	90
2018-07-28	84
2018-07-29	84
2018-07-30	79
2018-07-31	77
2018-08-01	72
2018-08-02	71
2018-08-03	71
2018-08-04	71
2018-08-05	72
2018-08-06	67
2018-08-07	65
2018-08-08	60
2018-08-09	63
2018-08-10	65
2018-08-11	74
2018-08-12	73
2018-08-13	67
2018-08-14	67
2018-08-15	68
2018-08-16	68
2018-08-17	66
2018-08-18	66
2018-08-19	60
2018-08-20	63
2018-08-21	60
2018-08-22	58
